Frequency (Hz),OmegaGW
1.000000187966146e-11,-25.50224161
1.0028289704526057e-11,-25.49856077
1.0056657549479135e-11,-25.49487992
1.0113634205728725e-11,-25.48751823
1.0228557762106065e-11,-25.47279481
1.0462337422708782e-11,-25.44334783
1.0946048377174738e-11,-25.3844533
1.1981595255410647e-11,-25.26666173
1.457583449471377e-11,-25.01124815
1.7502961370130193e-11,-24.77273583
2.0942599875535706e-11,-24.5388688
2.544215397545739e-11,-24.28512562
3.0509597652654285e-11,-24.04824236
3.714696225566013e-11,-23.79140907
4.5066214938905266e-11,-23.53908539
5.3968231312837086e-11,-23.30349278
6.561898482187364e-11,-23.04766388
7.875536553299206e-11,-22.80834147
9.418283325559649e-11,-22.57306056
1.1435826840973247e-10,-22.31670153
1.3706378255912642e-10,-22.07604031
1.6679463427831614e-10,-21.8128646
2.0224714190964933e-10,-21.5511212
2.4207059240471906e-10,-21.302679
2.941750888946861e-10,-21.0264544
3.5288165054680773e-10,-20.75969228
4.2979017097627977e-10,-20.45690525
5.215846927385514e-10,-20.14028853
6.248165406032999e-10,-19.82116748
7.599489493697888e-10,-19.43981365
9.123797596465589e-10,-19.0385759
9.149382203368047e-10,-19.03201102
9.175038553654082e-10,-19.02543208
9.226567289661155e-10,-19.01223174
9.330494572087252e-10,-18.98565917
9.541874207454457e-10,-18.93181011
9.979108197901594e-10,-18.82115889
1.0914599910020307e-9,-18.58683549
1.0947807171659067e-9,-18.57856027
1.098111546514829e-9,-18.570262
1.1048036378155633e-9,-18.55359575
1.1183104174161407e-9,-18.51998073
1.1458213768819131e-9,-18.45158968
1.202890292400206e-9,-18.30990673
1.2065500410846986e-9,-18.30082407
1.2102209244175611e-9,-18.29171373
1.217596230638473e-9,-18.27340941
1.2324819563609638e-9,-18.23646181
1.2628015890995009e-9,-18.16117556
1.3256968349543158e-9,-17.99175835
1.3294603902895843e-9,-17.98195708
1.333234630080294e-9,-17.97211223
1.340815284443661e-9,-17.95228908
1.356106147043557e-9,-17.91208876
1.3872129989000753e-9,-17.82929281
1.4515836906132878e-9,-17.65235646
1.4557046294277678e-9,-17.64071197
1.459837267282973e-9,-17.62899036
1.4681377730606903e-9,-17.60530982
1.484880640796497e-9,-17.55695643
1.5189413684309633e-9,-17.45592564
1.5894246371396916e-9,-17.23395866
1.5943156700660562e-9,-17.21788772
1.5992217538495165e-9,-17.20168495
1.6090792593903638e-9,-17.16888953
1.6289769281918323e-9,-17.10180475
1.6695134645431384e-9,-16.96267507
1.6746509496023702e-9,-16.94495831
1.679804243909808e-9,-16.92720228
1.69015845501406e-9,-16.89162252
1.7110587388028292e-9,-16.82059216
1.7536378530703843e-9,-16.6828804
1.7590342086319301e-9,-16.66644782
1.7644471700470139e-9,-16.65025538
1.7753231149954823e-9,-16.61866817
1.7972765341024848e-9,-16.55918902
1.8028071761352438e-9,-16.54518203
1.8083548372525598e-9,-16.53154884
1.8195014263888793e-9,-16.50544451
1.842001148857375e-9,-16.45809539
1.8476694190344852e-9,-16.44727135
1.853355131810265e-9,-16.43691161
1.864779100022929e-9,-16.41736231
1.8705174633057654e-9,-16.408236
1.8762734848802345e-9,-16.39948708
1.8878387204260994e-9,-16.38316358
1.893648043577077e-9,-16.37557191
1.899475243379862e-9,-16.36834807
1.9111834931527514e-9,-16.35496493
1.9170646536525387e-9,-16.34877871
1.9229639118645213e-9,-16.34292005
1.9348169443601246e-9,-16.33213252
1.940661973523997e-9,-16.32726912
1.9465246603613908e-9,-16.32267654
1.952405058215655e-9,-16.31834452
1.9583032205912815e-9,-16.31426313
1.964219201154411e-9,-16.3104233
1.9701530537333085e-9,-16.30681609
1.982074591064979e-9,-16.30026606
1.988062384289302e-9,-16.29730751
1.9940682664734684e-9,-16.2945504
2.000092292263738e-9,-16.29198841
2.0061345164714575e-9,-16.28961476
2.0121949940735415e-9,-16.28742426
2.0182737802129963e-9,-16.28541212
2.024370930199413e-9,-16.28357353
2.030486499509465e-9,-16.28190439
2.0366205437874332e-9,-16.28040062
2.042773118845699e-9,-16.27905909
2.048944280665236e-9,-16.27787693
2.055134085396142e-9,-16.2768513
2.0613425893581447e-9,-16.27598032
2.067569849041102e-9,-16.27526189
2.073815921105543e-9,-16.2746939
2.0800808623831655e-9,-16.27427691
2.08636472987734e-9,-16.27400744
2.09266758076365e-9,-16.27388589
2.0989894723904055e-9,-16.27391133
2.105330462279155e-9,-16.27408321
2.1116906081252346e-9,-16.27440105
2.118069967798276e-9,-16.27486542
2.124468599342718e-9,-16.27547531
2.130886560978358e-9,-16.27623097
2.137323911100874e-9,-16.27713249
2.1437807082823477e-9,-16.27817994
2.150257011271821e-9,-16.27937344
2.1567528789958148e-9,-16.28071313
2.1632683705588503e-9,-16.28219915
2.1698035452440097e-9,-16.28383167
2.1829331820090237e-9,-16.28753627
2.1895277635526708e-9,-16.28960783
2.1961422671471213e-9,-16.29182733
2.2094312814061105e-9,-16.29670404
2.2161059129845838e-9,-16.29936126
2.2228007084428146e-9,-16.30216446
2.2362510348407224e-9,-16.30820456
2.2430066881620796e-9,-16.31144081
2.249782750127675e-9,-16.31482004
2.2633963467936576e-9,-16.32200332
2.2702340053612855e-9,-16.32580615
2.2770923203087704e-9,-16.32974703
2.2908711691412405e-9,-16.33803988
2.2977918283970616e-9,-16.34238898
2.304733394775536e-9,-16.34687055
2.3186795017306694e-9,-16.35622432
2.3468253929623474e-9,-16.37644144
2.3534374340718706e-9,-16.38143462
2.3600681042143784e-9,-16.38652837
2.3733855416909555e-9,-16.39701061
2.4002462843634425e-9,-16.41910459
2.4548831979051985e-9,-16.46729953
2.461799685459962e-9,-16.47369337
2.4687356598074725e-9,-16.48012497
2.4826662886469516e-9,-16.49318094
2.5107638139539915e-9,-16.52000996
2.5679164429656247e-9,-16.57606772
2.575151394972547e-9,-16.58326231
2.582406731026889e-9,-16.59049238
2.5969787851630184e-9,-16.60505213
2.6263700398280714e-9,-16.63452455
2.6861542185307073e-9,-16.69454244
2.80983616328162e-9,-16.81666096
3.415744966511327e-9,-17.32368181
4.098728945422704e-9,-17.73758157
4.900652582732752e-9,-18.10161138
5.9492586777418425e-9,-18.46966548
7.1290409986780995e-9,-18.80115014
8.67368392785456e-9,-19.15710704
1.0416825633343395e-8,-19.49014885
1.2465455480115833e-8,-19.81576678
1.514555281381694e-8,-20.1607781
1.8164415597530482e-8,-20.46639618
2.211881979685154e-8,-20.77411614
2.6837584570550036e-8,-21.0549222
3.214283833479279e-8,-21.30433803
3.9086721313741114e-8,-21.56760873
4.691736176213989e-8,-21.81012569
5.611498857889184e-8,-22.04628653
6.814412117892656e-8,-22.30144893
8.168404456454692e-8,-22.53890414
8.194266570708488e-8,-22.54304174
8.220210567410377e-8,-22.54717922
8.272345245976348e-8,-22.5554538
8.377608654595035e-8,-22.57200152
8.592170863195422e-8,-22.60509136
9.03792173072519e-8,-22.67124994
9.066536837342757e-8,-22.67538396
9.095242542700991e-8,-22.67951789
9.152926897931887e-8,-22.68778545
9.269395475519676e-8,-22.7043194
9.50679758483485e-8,-22.73738277
9.536897206693366e-8,-22.74151528
9.56709212743968e-8,-22.7456477
9.627769073460082e-8,-22.75391227
9.750279892330816e-8,-22.77044035
9.781150407365448e-8,-22.77457216
9.81211866202493e-8,-22.77870388
9.874349629017906e-8,-22.78696707
9.905612963203788e-8,-22.79109854
9.936975280725396e-8,-22.79522992
9.968436894975468e-8,-22.79936123
9.999998120338872e-8,-22.80349245
