Frequency (Hz),OmegaGW
1.0000001879661458e-8,-26.79712497
1.0028289704526055e-8,-26.79344246
1.0056657549479132e-8,-26.78975994
1.0113634205728723e-8,-26.78239486
1.0228557762106064e-8,-26.76766456
1.046233742270878e-8,-26.73820333
1.0946048377174735e-8,-26.67927832
1.1981595255410643e-8,-26.56141684
1.4575834494713764e-8,-26.30580044
1.750296137013019e-8,-26.06701178
2.09425998755357e-8,-25.83275574
2.5442153975457386e-8,-25.57839894
3.050959765265428e-8,-25.3406828
3.714696225566012e-8,-25.08253209
4.5066214938905254e-8,-24.82830201
5.3968231312837075e-8,-24.59013479
6.561898482187362e-8,-24.3302529
7.875536553299205e-8,-24.08544425
9.418283325559646e-8,-23.84250419
1.1435826840973243e-7,-23.5742016
1.370637825591264e-7,-23.31758688
1.6679463427831608e-7,-23.02971728
2.0224714190964928e-7,-22.73329809
2.42070592404719e-7,-22.43974401
2.9417508889468604e-7,-22.09573025
3.5288165054680765e-7,-21.74203004
4.2979017097627966e-7,-21.31002207
4.310920832143426e-7,-21.3029072
4.3239793918027574e-7,-21.2957758
4.3502153011700366e-7,-21.281463
4.403165647912957e-7,-21.25263495
4.511007703810609e-7,-21.19414806
4.734680287735511e-7,-21.07367493
5.215846927385503e-7,-20.81717056
5.230585070988389e-7,-20.80935149
5.245364859386439e-7,-20.80151183
5.275049841594504e-7,-20.78577027
5.334924743517039e-7,-20.7540351
5.45672110689354e-7,-20.68953109
5.708719150111821e-7,-20.55617738
5.724849976762655e-7,-20.5476418
5.74102638343968e-7,-20.53908184
5.773516452408575e-7,-20.52188825
5.839049241996695e-7,-20.48720289
5.972354770648394e-7,-20.40833166
6.248165406032974e-7,-20.25658257
6.26730949050395e-7,-20.24592316
6.286512231547921e-7,-20.23521158
6.325094402789427e-7,-20.2136283
6.40297056885997e-7,-20.16979455
6.561611199681272e-7,-20.07921811
6.581715667298455e-7,-20.06760006
6.601881734057365e-7,-20.05591184
6.642399420526064e-7,-20.03231936
6.724182326430475e-7,-19.98422653
6.890781331462638e-7,-19.88404043
6.911894360857341e-7,-19.87110717
6.933072079579535e-7,-19.85807651
6.975622378433909e-7,-19.83171468
7.061508009887685e-7,-19.77773367
7.236464629349035e-7,-19.66429864
7.599489493697859e-7,-19.41301935
7.621227165090542e-7,-19.39734728
7.643027015180632e-7,-19.38157483
7.686813963388507e-7,-19.34974391
7.775141864035006e-7,-19.28507209
7.954854211720716e-7,-19.15324896
7.977608372638298e-7,-19.13672064
8.000427619832184e-7,-19.12021978
8.046262118275622e-7,-19.0873542
8.138720377880157e-7,-19.02257262
8.32683637265473e-7,-18.90031335
8.35065455583131e-7,-18.88602452
8.374540868826297e-7,-18.87200615
8.422518664346279e-7,-18.84483362
8.446610538303881e-7,-18.83170246
8.470771324948285e-7,-18.81889072
8.519300425336071e-7,-18.79425955
8.54366913500995e-7,-18.78245555
8.568107549234834e-7,-18.77100084
8.617194289442944e-7,-18.74915704
8.716213035658845e-7,-18.70978188
8.741144996537914e-7,-18.70083353
8.76614827309856e-7,-18.69223781
8.816369589816965e-7,-18.67608542
8.84158803971137e-7,-18.66851717
8.866878624763972e-7,-18.66127896
8.917677026279091e-7,-18.64776143
8.943185257186471e-7,-18.64146618
8.968766452145136e-7,-18.63547116
9.020148569642362e-7,-18.62433065
9.045949911388101e-7,-18.6191725
9.071825055602935e-7,-18.61427616
9.123797596465555e-7,-18.60523363
9.149382203368012e-7,-18.60114973
9.17503855365403e-7,-18.59728433
9.200766848503668e-7,-18.59362999
9.22656728966112e-7,-18.59017957
9.252440079436344e-7,-18.58692584
9.278385420706587e-7,-18.58386243
9.330494572087234e-7,-18.57828122
9.356658790803022e-7,-18.5757521
9.382896378227786e-7,-18.57339032
9.409207540099289e-7,-18.57119057
9.435592482732205e-7,-18.56914872
9.462051413019742e-7,-18.56726094
9.48858453843529e-7,-18.56552335
9.515192067033995e-7,-18.5639326
9.541874207454422e-7,-18.56248527
9.568631168920224e-7,-18.56117834
9.595463161241756e-7,-18.56001064
9.622370394817679e-7,-18.55897867
9.649353080636643e-7,-18.55808089
9.676411430278982e-7,-18.5571752
9.703545655918318e-7,-18.55668167
9.73075597032324e-7,-18.55617851
9.758042586858998e-7,-18.55580218
9.785405719489108e-7,-18.55555472
9.812845582777086e-7,-18.55543458
9.840362391888143e-7,-18.5554412
9.867956362590835e-7,-18.55557414
9.895627711258773e-7,-18.55583307
9.923376654872324e-7,-18.55621784
9.951203411020272e-7,-18.5567283
9.979108197901557e-7,-18.55736442
1.0007091234327014e-6,-18.55812627
1.0035152739721065e-6,-18.55901367
1.0063292934123393e-6,-18.56002696
1.0091512038190713e-6,-18.56116614
1.0119810273198527e-6,-18.56243134
1.0148187861042818e-6,-18.56382265
1.0205181985937669e-6,-18.56698405
1.0233798969898335e-6,-18.56875417
1.0262496200519172e-6,-18.57065072
1.0320132302470979e-6,-18.57482264
1.0349071625746009e-6,-18.57709777
1.037809209957292e-6,-18.57949885
1.0436377409757603e-6,-18.58467747
1.0465642703150101e-6,-18.58745415
1.0494990061167509e-6,-18.5903553
1.05539318922123e-6,-18.59652832
1.058352682742241e-6,-18.59979885
1.0613204751626502e-6,-18.60319097
1.0672810498527474e-6,-18.6103362
1.0702738788613066e-6,-18.6140874
1.0732751002473726e-6,-18.61795615
1.0793028143523564e-6,-18.62604192
1.0914599910020285e-6,-18.64356412
1.0947807171659066e-6,-18.64861733
1.098111546514825e-6,-18.65379486
1.104803637815559e-6,-18.66451394
1.1183104174161404e-6,-18.68734091
1.1458213768819088e-6,-18.73797073
1.1493074955273089e-6,-18.7447133
1.152804220558187e-6,-18.75150892
1.1598296189526706e-6,-18.76542688
1.1740091188214364e-6,-18.79407734
1.2028902924002056e-6,-18.8542902
1.2065500410846982e-6,-18.8620417
1.2102209244175607e-6,-18.86983538
1.2175962306384707e-6,-18.88554049
1.232481956360959e-6,-18.91736423
1.2628015890994984e-6,-18.98224076
1.3256968349543108e-6,-19.11418993
1.5894246371396826e-6,-19.58586653
1.9348169443601103e-6,-20.03276061
2.3468253929623344e-6,-20.42359794
2.8098361632816094e-6,-20.76403715
3.41574496651132e-6,-21.12137133
4.098728945422703e-6,-21.45217443
4.900652582732752e-6,-21.77717046
5.949258677741852e-6,-22.12856696
7.129040998678123e-6,-22.44844078
8.673683927854603e-6,-22.77692512
0.000010416825633343467,-23.06174688
0.000012465455480115918,-23.3226629
0.000015145552813817041,-23.59211358
0.000018164415597530607,-23.8367974
0.000022118819796851728,-24.09842167
0.000026837584570550268,-24.35344355
0.00003214283833479307,-24.5903755
0.000039086721313741455,-24.84660831
0.000046917361762140296,-25.0854044
0.00005611498857889223,-25.31923882
0.00006814412117892702,-25.57273265
0.00008168404456454749,-25.8091434
0.00008194266570708544,-25.81326606
0.00008220210567410419,-25.81738869
0.00008272345245976405,-25.82563387
0.00008377608654595093,-25.84212394
0.00008592170863195465,-25.8751029
0.00009037921730725219,-25.94105636
0.00009066536837342789,-25.94517827
0.00009095242542701005,-25.94930015
0.00009152926897931916,-25.95754385
0.00009269395475519706,-25.97403101
0.00009506797584834865,-26.00700437
0.00009536897206693398,-26.01112595
0.00009567092127439677,-26.01524751
0.0000962776907346008,-26.02349058
0.00009750279892330814,-26.03997649
0.00009781150407365447,-26.04409792
0.0000981211866202491,-26.04821934
0.00009874349629017904,-26.05646211
0.00009905612963203785,-26.06058347
0.0000993697528072541,-26.06470481
0.00009968436894975466,-26.06882614
0.0000999999812033887,-26.07294744
