Frequency (Hz),OmegaGW
1.000000187966147e-10,-29.14151538
1.0028289704526032e-10,-29.1378348
1.0056657549479146e-10,-29.13415422
1.0113634205728773e-10,-29.12679306
1.0228557762106078e-10,-29.11207073
1.0462337422708757e-10,-29.082626
1.0946048377174711e-10,-29.0237363
1.198159525541066e-10,-28.90595579
1.4575834494713785e-10,-28.65057429
1.7502961370130212e-10,-28.41210569
2.094259987553573e-10,-28.17830024
2.544215397545742e-10,-27.92465422
3.0509597652654323e-10,-27.68790292
3.7146962255660173e-10,-27.43127857
4.506621493890531e-10,-27.17925766
5.396823131283714e-10,-26.94407474
6.561898482187371e-10,-26.68889266
7.875536553299215e-10,-26.45044938
9.41828332555966e-10,-26.21640265
1.1435826840973259e-9,-25.96198392
1.3706378255912657e-9,-25.72394368
1.6679463427831632e-9,-25.46488885
2.0224714190964955e-9,-25.20905666
2.420705924047193e-9,-24.96850565
2.9417508889468644e-9,-24.70451281
3.5288165054680815e-9,-24.45396218
4.2979017097628024e-9,-24.17597955
5.215846927385519e-9,-23.89369769
6.248165406033005e-9,-23.61858428
7.599489493697896e-9,-23.30243186
9.123797596465599e-9,-22.98428295
1.0914599910020319e-8,-22.64318232
1.3256968349543173e-8,-22.22877423
1.3294603902895857e-8,-22.22231219
1.3332346300802907e-8,-22.21583666
1.3408152844436625e-8,-22.20284487
1.3561061470435537e-8,-22.17669646
1.387212998900077e-8,-22.12372466
1.4515836906132947e-8,-22.01494968
1.5894246371396934e-8,-21.78491774
1.594315670066058e-8,-21.77680948
1.599221753849524e-8,-21.76867915
1.6090792593903654e-8,-21.7523518
1.6289769281918397e-8,-21.71942666
1.66951346454314e-8,-21.65246486
1.7536378530703924e-8,-21.51384573
1.759034208631932e-8,-21.50496389
1.764447170047016e-8,-21.49605547
1.7753231149954843e-8,-21.47815833
1.7972765341024867e-8,-21.44203844
1.842001148857377e-8,-21.36846097
1.9348169443601266e-8,-21.20670297
1.940661973523992e-8,-21.19676729
1.9465246603613858e-8,-21.18678977
1.9583032205912837e-8,-21.16670684
1.9820745910649738e-8,-21.12601167
2.0304864995094672e-8,-21.04234565
2.1308865609783528e-8,-20.86431938
2.137323911100869e-8,-20.85264164
2.14378070828235e-8,-20.8408912
2.1567528789958173e-8,-20.81716627
2.182933182009026e-8,-20.7687764
2.236251034840725e-8,-20.667857
2.34682539296235e-8,-20.44614142
2.3534374340718733e-8,-20.43228148
2.3600681042143726e-8,-20.41831121
2.373385541690958e-8,-20.39003723
2.4002462843634536e-8,-20.33214745
