Frequency (Hz),OmegaGW
0.10000009868226693,-11.07175252
0.10149416532354182,-11.06749408
0.10301055429407426,-11.0632359
0.10611163824635414,-11.05472031
0.1125966866002885,-11.03769231
0.12678001322424487,-11.0036494
0.16073155891785096,-10.9356193
0.2583460853798524,-10.79981003
0.7228954625609056,-10.5067964
1.8894506577464227,-10.23566613
4.846303687800963,-9.973356402
13.463496206793947,-9.695205437
34.93747561117898,-9.445897519
35.50619330070799,-9.441799877
36.08416866569081,-9.437707244
37.26849766665448,-9.429537211
39.755045092182016,-9.41325957
45.23691487818093,-9.3809665
58.57259094704045,-9.317539813
98.19680300976256,-9.196421825
99.76588268180818,-9.192851807
101.36003456538988,-9.189291723
104.62516387703194,-9.182201865
111.47435131067864,-9.168147025
126.54720540037516,-9.140568059
163.08265344496638,-9.087822328
165.6885394671245,-9.084645768
168.33606475512138,-9.081484619
173.7587051635936,-9.07520952
185.1336545141338,-9.062855167
210.16625195717012,-9.038991889
270.84335782303276,-8.995256117
274.87812401563565,-8.992897804
278.9729963092701,-8.990563179
287.346654152113,-8.985966872
304.8555457149642,-8.977079975
309.39699306432817,-8.974925024
314.00609456765767,-8.972797901
323.4313064385657,-8.968629519
343.1389438536384,-8.960653854
348.25070077894856,-8.958739069
353.43860778670046,-8.956857355
364.0474265942942,-8.953196151
386.2299257599197,-8.946304994
391.9836110618346,-8.944676987
397.8230092832969,-8.943088688
409.7640709839621,-8.940035014
434.732222105752,-8.934447548
441.2084483890397,-8.933165205
447.781151318731,-8.931930926
461.2217573961039,-8.929611318
468.0925995278523,-8.928528455
475.0657969167897,-8.927498585
489.325379345365,-8.925603136
496.61488245016426,-8.924740303
504.0129776242856,-8.923935956
511.52128256887397,-8.923191562
519.1414390840442,-8.922508627
526.8751134278845,-8.921888696
534.7239966808075,-8.921333356
542.6898051153305,-8.920844235
550.7742805713625,-8.920423003
558.9791908370834,-8.920071375
567.3063300354966,-8.919791108
575.7575190167395,-8.919584007
584.3346057562397,-8.919451924
593.0394657588015,-8.919396757
601.8740024687115,-8.919420455
610.8401476859558,-8.919525018
619.9398619886349,-8.919730454
629.1751351616731,-8.92009559
638.5479866319143,-8.920629965
648.0604659096986,-8.92133963
657.7146530370175,-8.922230978
667.5126590423456,-8.923310767
677.4566264022478,-8.924586152
687.5487295098624,-8.926064721
697.7911751503646,-8.927754527
709.0701677191804,-8.929835567
720.53147224306,-8.932186727
732.1780355852757,-8.934820514
744.0128522417589,-8.937750368
756.038965111028,-8.940990761
768.2594662765594,-8.944557312
780.6774978018054,-8.948466912
793.296252538065,-8.952737873
806.118974945408,-8.957390099
819.1489619268735,-8.962445272
832.3895636761512,-8.967927087
845.8441845389617,-8.973861503
859.5162838883626,-8.980277055
873.4093770142031,-8.987205203
901.8728907761376,-9.002742373
916.4506297836402,-9.011433141
931.2640011920555,-9.020801299
946.3168137283964,-9.03090109
961.612937683372,-9.041793802
977.1563059064952,-9.053549047
992.9509148172713,-9.066246337
1025.3101644115968,-9.094846958
1041.8831251152608,-9.110979308
1058.723969,-9.128519009
1075.8370251425588,-9.147637944
1093.2266944934574,-9.168542116
1110.8974478682987,-9.191481304
1128.853828667359,-9.216762387
1147.1004537297576,-9.244768165
1165.6420145205132,-9.275984627
1184.4832783367879,-9.311041673
1203.6290895336251,-9.35077615
1223.0843707694987,-9.39633367
1242.854124272001,-9.449506767
1262.943433123987,-9.511386051
1283.3574625705055,-9.581230603
1304.1014613468556,-9.6578135
1325.1807630281132,-9.739674522
1346.600787400465,-9.825355788
1368.3670418547126,-9.913585856
1412.9607171142525,-10.09411186
1506.5552140569898,-10.46435392
1530.9069480269673,-10.56085242
1555.6522997958898,-10.66091867
1580.7976317432008,-10.76640008
1606.3494090888962,-10.88006179
1632.3142015558276,-11.00630407
1658.6986850588676,-11.15282221
1685.5096434213795,-11.33518163
1712.753970119436,-11.59389717
1740.4386700542325,-12.12400828
1753.0423491353126,-13.6683763
