Frequency (Hz),OmegaGW
0.10000009868226693,-18.45592632
0.10149416532354182,-18.45162563
0.10301055429407426,-18.44733036
0.10611163824635414,-18.43875581
0.1125966866002885,-18.42166829
0.12678001322424487,-18.38771582
0.16073155891785096,-18.3204508
0.2583460853798524,-18.18617918
0.7228954625609056,-17.88753164
1.8894506577464227,-17.60916927
4.846303687800963,-17.33657106
13.463496206793947,-17.04074146
34.93747561117898,-16.76463136
98.19680300976256,-16.46542701
270.84335782303276,-16.17178348
697.7911751503646,-15.89753149
1947.1746768976486,-15.60070154
5075.406081442496,-15.32310735
12982.301549450556,-15.05126739
35967.044012358296,-14.75622431
93077.39987705028,-14.48093094
260889.07684802072,-14.1825256
717600.2202906079,-13.88957678
1.8437229994283842e6,-13.61637149
5.130751019962094e6,-13.3200537
1.3336831050595883e7,-13.04348153
3.754883923364652e7,-12.74380153
1.0374218633840689e8,-12.44958825
2.6773226950127983e8,-12.17513075
7.483731530689241e8,-11.8775889
1.9539890331479754e9,-11.59982615
5.006578828116893e9,-11.3275808
1.3894155400468204e10,-11.03234914
3.601717848830566e10,-10.75701397
1.0112519709934499e11,-10.45891397
2.786275705115599e11,-10.16677607
7.170925949903434e11,-9.895048779
1.998934411430753e12,-9.601678067
5.204850905977626e12,-9.329638513
1.3299430883618145e13,-9.065414999
3.68069623497114e13,-8.782888645
9.515099622565866e13,-8.525668525
2.664212486117641e14,-8.258944213
2.7045371570579903e14,-8.255188462
2.7454721693637422e14,-8.251437526
2.829210309623207e14,-8.243950287
3.004426643065007e14,-8.229035694
3.3880854100765406e14,-8.199457363
4.3086363440556925e14,-8.141403778
6.968042992835774e14,-8.030689437
7.071426380463991e14,-8.027433073
7.176343645659859e14,-8.024185871
7.390871177682478e14,-8.01771939
7.839357021944341e14,-8.004901289
8.819623900239049e14,-7.979751653
1.1163215528613075e15,-7.931648483
1.1328841808381805e15,-7.928750633
1.1496925450411325e15,-7.925866659
1.1840611199660028e15,-7.920141152
1.255911195319652e15,-7.908865871
1.4129557263194688e15,-7.887070456
1.7884129168892048e15,-7.84700624
1.8172126573471562e15,-7.844486791
1.84647617495782e15,-7.841995211
1.906424535681269e15,-7.83709804
2.0322233618002482e15,-7.82766546
