Frequency (Hz),OmegaGW
0.10000009868226693,-14.72662353
0.10149416532354182,-14.72232985
0.10301055429407426,-14.71803617
0.10611163824635414,-14.70944882
0.1125966866002885,-14.69227414
0.12678001322424487,-14.65792483
0.16073155891785096,-14.58922613
0.2583460853798524,-14.45182935
0.7228954625609056,-14.15392558
1.8894506577464227,-13.8757704
4.846303687800963,-13.60308228
13.463496206793947,-13.30730135
34.93747561117898,-13.03128914
98.19680300976256,-12.73222194
270.84335782303276,-12.43869775
697.7911751503646,-12.16503107
1947.1746768976486,-11.86851129
5075.406081442496,-11.59205042
12982.301549450556,-11.32156935
35967.044012358296,-11.02906665
93077.39987705028,-10.75753622
260889.07684802072,-10.46545518
717600.2202906079,-10.18208397
1.8437229994283842e6,-9.922569858
5.130751019962094e6,-9.649875419
1.3336831050595883e7,-9.409831821
1.3554289975112598e7,-9.405946062
1.3775294598279357e7,-9.402067619
1.4228173135694437e7,-9.394333012
1.5179086397008222e7,-9.37895531
1.7275817844115652e7,-9.348586224
2.2378170725176126e7,-9.289576005
2.2743049977232844e7,-9.285972486
2.3113878637318328e7,-9.282379688
2.387377378704281e7,-9.275226816
2.5469332673991684e7,-9.26105601
2.8987485832730185e7,-9.233288939
3.754883923364652e7,-9.180377499
3.8149842426186554e7,-9.177259288
3.876046521935381e7,-9.174157349
4.0011187953701094e7,-9.168003326
4.263501067249706e7,-9.155902333
4.841012857236642e7,-9.13259588
4.918497654149356e7,-9.129773001
4.997222665440667e7,-9.126971431
5.158473051907683e7,-9.121433805
5.496751405541023e7,-9.11063236
6.241312904003335e7,-9.090229871
6.341210771886988e7,-9.087802348
6.4427075956571974e7,-9.08540406
6.650600891442946e7,-9.080697749
7.086728849773125e7,-9.071665306
7.200158365846227e7,-9.069490642
7.31540342409532e7,-9.067350906
7.551456869833362e7,-9.063179519
8.046660464338079e7,-9.055293712
8.175454555635032e7,-9.053422929
8.306310113055295e7,-9.051594409
8.574338136923018e7,-9.048068407
8.711578187464736e7,-9.046373135
8.851014889359823e7,-9.044724545
9.136619447548692e7,-9.041572225
9.282859319914167e7,-9.040070994
9.43143989393546e7,-9.038621446
9.735773606810634e7,-9.03588283
9.891603484350419e7,-9.034596582
1.004992756026773e8,-9.033367659
1.0374218633840689e8,-9.031087902
1.0529043430115221e8,-9.030108561
1.0686178831013303e8,-9.029184535
1.0845659319988918e8,-9.028317204
1.1007519895126866e8,-9.027507985
1.1171796076823215e8,-9.026758333
1.13385239155804e8,-9.026069743
1.1507739999918285e8,-9.025443748
1.1679481464403655e8,-9.024881922
1.1853785997799495e8,-9.024385882
1.203069185133574e8,-9.023957286
1.2210237847103438e8,-9.023597834
1.239246338657436e8,-9.023309273
1.2577408459247771e8,-9.023093395
1.2765113651426056e8,-9.022952036
1.2955620155121325e8,-9.022887084
1.31489697770951e8,-9.022900473
1.334520494803294e8,-9.022994188
1.3544368731855774e8,-9.023172012
1.3746504835170224e8,-9.023487928
1.3951657616860124e8,-9.023970852
1.415987209782125e8,-9.024626716
1.4371193970840904e8,-9.02546178
1.458566961062535e8,-9.026482664
1.480334608397693e8,-9.027696369
1.5024271160122606e8,-9.029110319
1.5248493321197072e8,-9.030732386
1.547606177288237e8,-9.032570941
1.5707026455205777e8,-9.034634888
1.594143805349933e8,-9.036933721
1.6179348009522915e8,-9.039477576
1.6420808532752874e8,-9.042277293
1.6665872611839545e8,-9.045344484
1.691459402623579e8,-9.048691615
1.7167027357998806e8,-9.05233209
1.742322800376807e8,-9.056280355
1.7683252186922264e8,-9.060552008
1.7947156969917747e8,-9.06516393
1.8215000266810542e8,-9.070134431
1.8762738392956987e8,-9.081232614
1.9042753423656842e8,-9.087405729
1.9326947397524503e8,-9.094028778
1.9615382681090772e8,-9.10113036
1.9908122571644107e8,-9.108742018
2.020523131112142e8,-9.116898665
2.0506774100206253e8,-9.12563908
2.1123427509727296e8,-9.145049364
2.143867345510813e8,-9.155822108
2.175862412968289e8,-9.167386282
2.2083349746810654e8,-9.1798118
2.2412921567714393e8,-9.193178533
2.274741191711943e8,-9.207578298
2.3086894199124995e8,-9.223117353
2.378113367109532e8,-9.258130689
2.4136043212310645e8,-9.277923454
2.4496249422061196e8,-9.299505073
2.4861831347806352e8,-9.323126826
2.5232869216709444e8,-9.349097543
2.560944445324392e8,-9.377802609
2.5991639697061485e8,-9.409731532
2.637953882112764e8,-9.445519142
2.6773226950127983e8,-9.48600944
2.720670781395671e8,-9.53666688
2.764720709434213e8,-9.596000725
2.809483842529931e8,-9.663620499
2.8549717280672634e8,-9.738414086
2.9011961003924304e8,-9.818960485
2.9481688838405097e8,-9.90377158
3.0444083498961425e8,-10.08106223
3.0936998590525967e8,-10.17171325
3.143789438834182e8,-10.26303472
3.2464147051963335e8,-10.44757086
3.298976865647737e8,-10.54144924
3.352390051295316e8,-10.63733848
3.4618248364988667e8,-10.84026636
3.5178746665527576e8,-10.95143255
3.5748319900811857e8,-11.07373036
3.6327115001600236e8,-11.21368121
3.691528127758291e8,-11.38386822
3.7512970455898666e8,-11.61432263
3.81203367202752e8,-12.01743896
3.855133477227587e8,-13.31799175
