Frequency (Hz),OmegaGW
0.10000009868226693,-16.76132219
0.10149416532354182,-16.75703079
0.10301055429407426,-16.7527394
0.10611163824635414,-16.74415667
0.1125966866002885,-16.72699144
0.12678001322424487,-16.69266186
0.16073155891785096,-16.62400655
0.2583460853798524,-16.48671356
0.7228954625609056,-16.18914001
1.8894506577464227,-15.91149131
4.846303687800963,-15.63960254
13.463496206793947,-15.34524193
34.93747561117898,-15.07139069
98.19680300976256,-14.77609129
270.84335782303276,-14.48839656
697.7911751503646,-14.22297654
1947.1746768976486,-13.94026603
5075.406081442496,-13.6843796
12982.301549450556,-13.44675509
13190.661757493288,-13.44289138
13402.366054881855,-13.43903439
13836.022463724974,-13.43134094
14745.884378629622,-13.41603823
16749.041399143603,-13.38578775
21608.67907140079,-13.32686956
21955.488830032245,-13.32326445
22307.86473216953,-13.31966912
23029.673737318062,-13.31250824
24544.113533957774,-13.29830926
27878.31256030392,-13.27043275
35967.044012358296,-13.21704738
36505.38440725623,-13.21404341
37051.78246685081,-13.21105258
38169.23580094958,-13.20511105
40506.26348742755,-13.19339408
45618.35499045027,-13.17067252
46301.15236550611,-13.16790368
46994.16957982351,-13.16515154
48411.47768172539,-13.15969848
51375.61781477703,-13.14900527
57859.475783433605,-13.12854195
58725.493380852575,-13.12607745
59604.47318487432,-13.12363501
61402.09836922879,-13.11881797
65161.62881005481,-13.10946778
66136.94212670502,-13.10719214
67126.85354476882,-13.10494226
69151.34794981591,-13.10052193
73385.34979252431,-13.09201477
74483.7524906571,-13.08996095
75598.59564305871,-13.08793759
77878.59129050416,-13.08398495
82646.94518102896,-13.076476
83883.97175153559,-13.07468576
85139.513643241,-13.07293194
87707.25605804387,-13.06953694
93077.39987705028,-13.06322293
94588.46437141909,-13.06162743
96124.06023332904,-13.06008367
99270.44554259065,-13.05715685
100882.05099995995,-13.05577666
102519.82005653551,-13.05445392
105875.55487413533,-13.05198704
107594.39093963815,-13.05084611
109341.131439017,-13.0497691
111116.22938663777,-13.04875774
112920.14515132479,-13.04781382
114753.34657575791,-13.04693917
116616.30909780618,-13.04613569
118509.51587383132,-13.04540533
120433.45790399473,-13.04475009
122388.634159597,-13.04417204
124375.55171248472,-13.0436733
126394.72586655998,-13.04325604
128446.680291423,-13.04292252
130531.94715818437,-13.04267504
132651.06727748405,-13.04251597
134804.59023974912,-13.04244775
136993.0745577285,-13.04247289
139217.08781134372,-13.04259398
141477.20679488915,-13.04284275
143774.01766662195,-13.04328484
146108.1161007828,-13.04392957
148480.10744208228,-13.04478492
150890.6068626953,-13.04585931
153340.23952180656,-13.04716174
155829.64072774386,-13.04870176
158359.45610274366,-13.05048959
160930.34175039284,-13.05253611
163542.96442578858,-13.05485302
166198.0017084597,-13.05745281
168896.14217809503,-13.06034895
171638.08559312712,-13.06355591
174424.5430722126,-13.06708934
177256.23727865884,-13.07096614
180133.90260784727,-13.07520463
183058.28537769677,-13.07982474
186030.14402221906,-13.08484817
189050.24928821932,-13.09029863
192119.38443518712,-13.0962021
195238.34543843256,-13.10258714
201628.99373606936,-13.11693125
204902.33843491506,-13.12496384
208228.8242287934,-13.13362616
211609.3138364958,-13.14296648
215044.68398261562,-13.15303911
218535.82562492756,-13.16390539
222083.64418545505,-13.17563501
229353.00748322092,-13.20201459
233076.43751825017,-13.21686191
236860.3155560233,-13.23297298
240705.62293928151,-13.25049291
244613.35694236893,-13.26959384
248584.5310298728,-13.29048208
252620.17511946647,-13.31340785
256721.33584901557,-13.33867858
260889.07684802072,-13.36667782
265046.41703796346,-13.39728946
269270.0056031308,-13.43159531
273560.8982298553,-13.47038231
277920.16742712585,-13.51472043
282348.9027946614,-13.5662608
286848.21129525616,-13.62627766
291419.21753146505,-13.69416144
296063.06402669847,-13.76878242
300780.9115107958,-13.8487584
305573.9392101503,-13.9326773
315390.34641615476,-14.10756893
335979.3324422663,-14.46848186
341333.25679443916,-14.5609107
346772.4974241355,-14.65529591
352298.41387002857,-14.7527357
357912.3873354194,-14.85480929
363615.82103346905,-14.96383648
369410.1405379313,-15.08340151
375296.7941394753,-15.21950263
381277.2532076861,-15.38346369
387353.01255883306,-15.60128436
393525.5908294998,-15.96135372
398849.55795132846,-17.41820521
